Actual CPI,Forecast CPI
86.1,80.52388469171117
86.0,80.52388469171115
85.2,80.52388469171112
84.7,80.52388469171112
86.2,80.52388469171112
86.2,80.5238846917111
86.4,80.52388469171109
86.5,80.52388469171107
84.6,80.52388469171109
86.6,80.5238846917111
87.5,80.52388469171115
87.6,80.52388469171115
88.3,80.52388469171115
86.0,80.52388469171113
92.5,80.52388469171113
92.3,80.52388469171115
93.8,80.52388469171115
95.8,80.52388469171112
96.2,80.5238846917111
97.5,80.5238846917111
97.8,80.52388469171113
98.8,80.52388469171113
100.4,80.52388469171109
100.7,80.52388469171107
100.9,80.52388469171105
100.4,80.52388469171106
100.9,80.5238846917111
97.7,80.52388469171109
101.0,80.52388469171107
100.2,80.52388469171109
102.3,80.52388469171109
103.5,80.5238846917111
102.8,80.52388469171113
103.2,80.52388469171112
103.9,80.52388469171112
101.6,80.52388469171113
103.0,80.52388469171115
102.7,80.52388469171116
103.9,80.52388469171115
101.2,80.52388469171112
100.0,80.5238846917111
103.5,80.52388469171112
105.4,80.52388469171113
108.9,80.52388469171112
108.1,80.5238846917111
108.9,80.52388469171109
109.9,80.52388469171109
108.4,80.52388469171109
109.1,80.52388469171107
112.4,80.52388469171107
113.7,80.5238846917111
114.4,80.52388469171113
112.6,80.52388469171116
100.5,80.52388469171116
101.1,80.52388469171113
100.1,80.52388469171115
102.1,80.52388469171116
104.7,80.52388469171115
104.5,80.52388469171116
106.0,80.52388469171117
